Id,code_module_x,code_presentation_x_x,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,score,final_result
1,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,66,Withdrawn
2,AAA,2013J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,66,Withdrawn
3,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,66,Fail
4,AAA,2014J,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,1,60,66,Fail
5,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,74,Withdrawn
6,AAA,2013J,M,South Region,Lower Than A Level,70-80%,35-55,0,60,74,Withdrawn
7,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,60,74,Pass
8,AAA,2014J,M,South Region,Lower Than A Level,70-80%,35-55,1,60,74,Pass
9,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,67,Withdrawn
10,AAA,2013J,M,South Region,HE Qualification,80-90%,35-55,0,60,67,Withdrawn
11,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,85,Withdrawn
12,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,85,Withdrawn
13,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,85,Withdrawn
14,AAA,2013J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,85,Withdrawn
15,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,85,Withdrawn
16,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,85,Withdrawn
17,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,85,Withdrawn
18,AAA,2014J,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,1,60,85,Withdrawn
19,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,72,Withdrawn
20,AAA,2013J,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,72,Withdrawn
21,AAA,2014J,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,72,Pass
22,AAA,2014J,F,South East Region,Lower Than A Level,90-100%,35-55,1,60,72,Pass
23,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,45,Withdrawn
24,AAA,2013J,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,45,Withdrawn
25,AAA,2014J,M,South West Region,A Level or Equivalent,90-100%,0-35,1,210,45,Pass
26,AAA,2014J,M,South West Region,A Level or Equivalent,90-100%,0-35,1,210,45,Pass
27,AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,52,Withdrawn
28,AAA,2013J,F,North Region,Lower Than A Level,80-90%,0-35,0,90,52,Withdrawn
29,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,68,Withdrawn
30,AAA,2013J,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,68,Withdrawn
31,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,68,Pass
32,AAA,2014J,F,North Western Region,A Level or Equivalent,30-40%,35-55,1,60,68,Pass
33,AAA,2013J,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,85,Withdrawn
